municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha_100pct,risco_economico,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,score_clima,score_produtividade,score_economico,score_integrado
Anahy,05/02/,0.7493778837860363,0.1166926790381179,27,0.4444444444444444,0.1481481481481481,0.3703703703703703,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%),3259.204101596609,413.45254351390753,Alta produtividade prevista,7.7,-874.3410286090059,Viabilidade intermediária,26.75607675222388,193.62591107837764,3,0,1,4
Anahy,05/03/,0.7095964613767664,0.1116797010403957,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,1.0,0.0,0.4444444444444444,Risco climático 40%,3232.978568350648,471.6845821118121,Produtividade prevista intermediária,7.7,-871.184143588304,Mais viável,29.912961772925883,196.7827960990796,2,1,0,3
Anahy,15/02/,0.7357809111323024,0.103091857829665,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.7407407407407407,0.0,0.2592592592592592,Risco climático 30%,3254.8949451432845,406.2367749539332,Alta produtividade prevista,3.8,-885.6370173796408,Viabilidade intermediária,15.460087981589473,182.3299223077433,1,0,1,2
Anahy,15/03/,0.7163762380807691,0.108367212581462,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3242.164063756979,396.3562641527142,Alta produtividade prevista,3.8,-874.0480590468204,Viabilidade intermediária,27.04904631440959,193.9188806405633,3,0,1,4
Anahy,25/02/,0.7100115020839074,0.1088044930523154,27,0.3333333333333333,0.1111111111111111,0.2592592592592592,0.925925925925926,0.0,0.3703703703703703,Risco climático 40%,3243.538913607429,404.93671835857356,Alta produtividade prevista,3.8,-874.8327992258587,Viabilidade intermediária,26.26430613537148,193.1341404615252,2,0,1,3
Anahy,25/03/,0.7088052239088216,0.1223937912937696,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.4814814814814814,Inapto (risco > 40%),3224.5296778427855,383.3150515075837,Produtividade prevista intermediária,3.8,-881.8922967460583,Viabilidade intermediária,19.204808615171995,186.0746429413257,3,1,1,5
Assis Chateaubriand,05/02/,0.7121457514299591,0.1251530896324591,27,0.5185185185185185,0.1851851851851851,0.4074074074074074,0.4074074074074074,0.0,0.1851851851851851,Inapto (risco > 40%),3123.4361289829976,514.5277907952618,Produtividade prevista intermediária,7.7,-908.7491295905592,Viabilidade intermediária,-7.652024229329002,159.2178100968247,3,1,1,5
Assis Chateaubriand,05/03/,0.6916828756344694,0.1118963806604964,27,0.4074074074074074,0.2592592592592592,0.2592592592592592,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),3120.540632265542,615.8655590808606,Produtividade prevista intermediária,7.7,-902.683487294798,Viabilidade intermediária,-1.586381933567946,165.2834523925858,3,1,1,5
Assis Chateaubriand,15/02/,0.7076627827713984,0.1075038457581336,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.2222222222222222,Risco climático 30%,3067.014071978156,600.4674170286976,Baixa produtividade prevista,3.8,-938.7878662037592,Menos viável,-37.69076084252893,129.1790734836248,1,2,2,5
Assis Chateaubriand,15/03/,0.6982641537006857,0.1121031829944386,27,0.6296296296296297,0.5185185185185185,0.1851851851851851,1.0,0.037037037037037,0.4074074074074074,Inapto (risco > 40%),3102.831127107635,586.1157077518908,Baixa produtividade prevista,7.7,-920.158706361525,Menos viável,-19.061601000294942,147.80823332585877,3,2,2,7
Assis Chateaubriand,25/02/,0.6893497333311531,0.1099295582248046,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,0.8888888888888888,0.0,0.2962962962962963,Risco climático 40%,3108.9533951502517,542.5307447361837,Produtividade prevista intermediária,7.7,-904.8731571881154,Viabilidade intermediária,-3.776051826885123,163.09378249926857,2,1,1,4
